,Unnamed: 0,continent,location,date,total_cases,total_deaths,total_tests,total_vaccinations,population
175441,175441,Africa,Uganda,2020-03-21,1.0,,,,47123533.0
175442,175442,Africa,Uganda,2020-03-22,1.0,,,,47123533.0
175443,175443,Africa,Uganda,2020-03-23,9.0,,,,47123533.0
175444,175444,Africa,Uganda,2020-03-24,9.0,,,,47123533.0
175445,175445,Africa,Uganda,2020-03-25,14.0,,,,47123533.0
175446,175446,Africa,Uganda,2020-03-26,14.0,,,,47123533.0
175447,175447,Africa,Uganda,2020-03-27,23.0,,,,47123533.0
175448,175448,Africa,Uganda,2020-03-28,30.0,,,,47123533.0
175449,175449,Africa,Uganda,2020-03-29,33.0,,,,47123533.0
175450,175450,Africa,Uganda,2020-03-30,33.0,,,,47123533.0
175451,175451,Africa,Uganda,2020-03-31,44.0,,,,47123533.0
175452,175452,Africa,Uganda,2020-04-01,44.0,,1510.0,,47123533.0
175453,175453,Africa,Uganda,2020-04-02,45.0,,,,47123533.0
175454,175454,Africa,Uganda,2020-04-03,48.0,,,,47123533.0
175455,175455,Africa,Uganda,2020-04-04,48.0,,,,47123533.0
175456,175456,Africa,Uganda,2020-04-05,52.0,,,,47123533.0
175457,175457,Africa,Uganda,2020-04-06,52.0,,3160.0,,47123533.0
175458,175458,Africa,Uganda,2020-04-07,52.0,,3310.0,,47123533.0
175459,175459,Africa,Uganda,2020-04-08,53.0,,3524.0,,47123533.0
175460,175460,Africa,Uganda,2020-04-09,53.0,,3862.0,,47123533.0
175461,175461,Africa,Uganda,2020-04-10,53.0,,4301.0,,47123533.0
175462,175462,Africa,Uganda,2020-04-11,53.0,,,,47123533.0
175463,175463,Africa,Uganda,2020-04-12,54.0,,5025.0,,47123533.0
175464,175464,Africa,Uganda,2020-04-13,54.0,,5664.0,,47123533.0
175465,175465,Africa,Uganda,2020-04-14,55.0,,6661.0,,47123533.0
175466,175466,Africa,Uganda,2020-04-15,55.0,,7693.0,,47123533.0
175467,175467,Africa,Uganda,2020-04-16,55.0,,8855.0,,47123533.0
175468,175468,Africa,Uganda,2020-04-17,56.0,,9975.0,,47123533.0
175469,175469,Africa,Uganda,2020-04-18,55.0,,11101.0,,47123533.0
175470,175470,Africa,Uganda,2020-04-19,55.0,,12565.0,,47123533.0
175471,175471,Africa,Uganda,2020-04-20,56.0,,13742.0,,47123533.0
175472,175472,Africa,Uganda,2020-04-21,61.0,,14761.0,,47123533.0
175473,175473,Africa,Uganda,2020-04-22,63.0,,16057.0,,47123533.0
175474,175474,Africa,Uganda,2020-04-23,74.0,,17388.0,,47123533.0
175475,175475,Africa,Uganda,2020-04-24,75.0,,18921.0,,47123533.0
175476,175476,Africa,Uganda,2020-04-25,75.0,,20329.0,,47123533.0
175477,175477,Africa,Uganda,2020-04-26,79.0,,22318.0,,47123533.0
175478,175478,Africa,Uganda,2020-04-27,79.0,,24875.0,,47123533.0
175479,175479,Africa,Uganda,2020-04-28,79.0,,27275.0,,47123533.0
175480,175480,Africa,Uganda,2020-04-29,81.0,,29277.0,,47123533.0
175481,175481,Africa,Uganda,2020-04-30,83.0,,31978.0,,47123533.0
175482,175482,Africa,Uganda,2020-05-01,85.0,,34432.0,,47123533.0
175483,175483,Africa,Uganda,2020-05-02,88.0,,36916.0,,47123533.0
175484,175484,Africa,Uganda,2020-05-03,89.0,,39846.0,,47123533.0
175485,175485,Africa,Uganda,2020-05-04,97.0,,42092.0,,47123533.0
175486,175486,Africa,Uganda,2020-05-05,98.0,,44724.0,,47123533.0
175487,175487,Africa,Uganda,2020-05-06,100.0,,48233.0,,47123533.0
175488,175488,Africa,Uganda,2020-05-07,101.0,,52042.0,,47123533.0
175489,175489,Africa,Uganda,2020-05-08,101.0,,55203.0,,47123533.0
175490,175490,Africa,Uganda,2020-05-09,116.0,,57768.0,,47123533.0
